1.75,0,1,0,0,0.05,0,0.05,2,0,1,0,0,0.05,0,0.05,2,0,1,0,0,0.05,0,0.05,0,0,0,0,0,0,0.11,0,1,1
1.75,0.057,0.876,0.066,0.1511,-0.002777778,0,-0.002777778,1.5,0.057,0.876,0.066,0.1511,-0.002777778,0,-0.002777778,1.5,0.057,0.876,0.066,0.1511,-0.002777778,0,-0.002777778,0,0,0,0,0,0,0.22,0,1,1
1.75,0,1,0,0,0,0,0,1.6666666,0,1,0,0,0,0,0,1.6666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.375,0.625,0,-0.4588,0.25,0,0.25,2,0.375,0.625,0,-0.4588,0.25,0,0.25,2,0.375,0.625,0,-0.4588,0.25,0,0.25,0.12,0,1,0.12,0,1,0.11,0,1,7
1,0.17,0.83,0,-0.6486,0.1,-1,0.1,1.5,0.17,0.83,0,-0.6486,0.1,-1,0.1,1.5,0.17,0.83,0,-0.6486,0.1,-1,0.1,0,0,0,0,0,0,0.11,0,1,1
2,0.167,0.833,0,-0.6597,0,0,0,2,0.167,0.833,0,-0.6597,0,0,0,2,0.167,0.833,0,-0.6597,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.882,0.118,0.6249,0.2575,0.333333333,0.2575,2,0,0.882,0.118,0.6249,0.2575,0.333333333,0.2575,2,0,0.882,0.118,0.6249,0.2575,0.333333333,0.2575,0,0,0,0,0,0,0,0,0,0
2.125,0.015,0.941,0.044,0.6322,0.133333333,0.666666667,0.133333333,2,0.015,0.941,0.044,0.6322,0.133333333,0.666666667,0.133333333,2,0.015,0.941,0.044,0.6322,0.133333333,0.666666667,0.133333333,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6666666,0.059,0.824,0.117,0.4019,0.5,-1,0.5,2,0.059,0.824,0.117,0.4019,0.5,-1,0.5,2,0.059,0.824,0.117,0.4019,0.5,-1,0.5,0,0,0,0,0,0,0,0,0,0
2.4,0,1,0,0,0.142857143,1,0.142857143,2,0,1,0,0,0.142857143,1,0.142857143,2,0,1,0,0,0.142857143,1,0.142857143,0,0,0,0,0,0,0,0,0,0
1.8,0.178,0.684,0.138,-0.5682,0.183333333,-0.25,0.183333333,2,0.178,0.684,0.138,-0.5682,0.183333333,-0.25,0.183333333,2,0.178,0.684,0.138,-0.5682,0.183333333,-0.25,0.183333333,0.25,0,1,0.12,0,1,0.33,0,1,7
1.8571428,0.036,0.94,0.025,-0.1027,-0.02,0,-0.02,1,0.036,0.94,0.025,-0.1027,-0.02,0,-0.02,1,0.036,0.94,0.025,-0.1027,-0.02,0,-0.02,0,0,0,0,0,0,0,0,0,0
1.6666666,0,0.596,0.404,0.5255,0.6,1,0.6,1.6666666,0,0.596,0.404,0.5255,0.6,1,0.6,1.6666666,0,0.596,0.404,0.5255,0.6,1,0.6,0,0,0,0,0,0,0,0,0,0
1,0,0.868,0.132,0.4939,0.026666667,1,0.026666667,1,0,0.868,0.132,0.4939,0.026666667,1,0.026666667,1,0,0.868,0.132,0.4939,0.026666667,1,0.026666667,0,0,0,0,0,0,0.11,0,1,1
2.25,0,0.94,0.06,0.504,0.119761905,1,0.119761905,2,0,0.94,0.06,0.504,0.119761905,1,0.119761905,2,0,0.94,0.06,0.504,0.119761905,1,0.119761905,0,0,0,0,0,0,0,0,0,0
3,0.042,0.685,0.273,0.9036,0.2875,1,0.2875,3,0.042,0.685,0.273,0.9036,0.2875,1,0.2875,3,0.042,0.685,0.273,0.9036,0.2875,1,0.2875,0,0,0,0,0,0,0,0,0,0
2,0,0.818,0.182,0.4404,0.2,0,0.2,2,0,0.818,0.182,0.4404,0.2,0,0.2,2,0,0.818,0.182,0.4404,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0
